"Question","Mean","Median","Min","SD"
"PFSQ5",3.68604651162791,4,"1",1.11619265044693
"PFSQ17",3.50581395348837,4,"1",1.01161149318179
"PFSQ18",2.68604651162791,3,"1",1.21647201429655
"PFSQ20",3.94186046511628,4,"1",0.785164357402611
"PFSQ24",3.90058479532164,4,"1",1.0384092515236
"PFSQ26",3.63372093023256,4,"1",0.884976685868122
"PFSQ25",2.28488372093023,2,"1",1.2910866217116
"PFSQ21",2.33139534883721,2,"1",1.30699974522313
"PFSQ22",3.04651162790698,3,"1",1.03626608996952
"PFSQ15",2.37209302325581,2,"1",1.28914960526169
"PFSQ13",2.56395348837209,2,"1",1.20500057418614
"PFSQ2",2.86046511627907,3,"1",1.2580760461742
"CEBQ32",3.1046511627907,3,"1",0.985616674208676
"CEBQ24",3.04678362573099,3,"1",1.03930330452141
"CEBQ16",3.62209302325581,4,"1",1.04415960362666
"CEBQ10",3.22093023255814,3,"1",1.03620046820522
"CEBQ7",3.17441860465116,3,"1",1.08893274071629
"control_Age",3.22674418604651,3,"3",0.419948317233546
"control_stats",3.06721282593376,2.95833333333333,"1.75",0.671607535143766
"emotional_stats",3.06721282593376,2.95833333333333,"1.75",0.671607535143766
"picky_stats",3.23401162790698,3.2,"2",0.545494742856321
"income_stats",4.40116279069767,4,"1",1.46961380024897
"education_stats",3.89473684210526,4,"1",1.02929234159116
"control_household",4.24418604651163,NA,"1",1.09689670185529
"relationship_stats",2.04093567251462,NA,"",0.966234200973941
"control_childnum",1.31395348837209,1,"1",0.976467291870559
"relation_stats",1.76744186046512,2,"1",0.437280768253347
"sex_stats",1.44767441860465,1,"1",0.498706336771368
