"Question","Fullquestion","Var1","Freq","Numeric"
"parent","Parent completing form (Father, Mother, other)","Other",1,1
"parent","Parent completing form (Father, Mother, other)","Mother",131,2
"parent","Parent completing form (Father, Mother, other)","Father",41,3
"parent_etc","How do you define your relationship to your child?","Uncle",1,1
"parent_etc","How do you define your relationship to your child?","",172,2
"gender","What terms best express how you describe your gender identity? (Check all that apply)","Non-binary / third gender",1,1
"gender","What terms best express how you describe your gender identity? (Check all that apply)","Male",44,2
"gender","What terms best express how you describe your gender identity? (Check all that apply)","Female",128,3
"gender_etc","Please tell us how you describe your gender identity","",173,1
"num_children","How many children do you have?","5",5,1
"num_children","How many children do you have?","4",9,2
"num_children","How many children do you have?","3",26,3
"num_children","How many children do you have?","2",81,4
"num_children","How many children do you have?","1",52,5
"sex","What sex was your child assigned at birth?","Male",95,1
"sex","What sex was your child assigned at birth?","Female",78,2
"ed","What is the highest grade or level of school you have completed or the highest degree you have received?","Some high school",4,1
"ed","What is the highest grade or level of school you have completed or the highest degree you have received?","Some college or associates degree",34,2
"ed","What is the highest grade or level of school you have completed or the highest degree you have received?","High school degree or GED",15,3
"ed","What is the highest grade or level of school you have completed or the highest degree you have received?","Advanced degree",56,4
"ed","What is the highest grade or level of school you have completed or the highest degree you have received?","4 years college degree",63,5
"ed","What is the highest grade or level of school you have completed or the highest degree you have received?","",1,6
"income","What is your best estimate of the total income of all family members from all sources, before taxes, in the last calendar year?","More than $100,000",58,1
"income","What is your best estimate of the total income of all family members from all sources, before taxes, in the last calendar year?","Less than $20,000",9,2
"income","What is your best estimate of the total income of all family members from all sources, before taxes, in the last calendar year?","$75,000 - $99,999",20,3
"income","What is your best estimate of the total income of all family members from all sources, before taxes, in the last calendar year?","$50,000 - $74,999",58,4
"income","What is your best estimate of the total income of all family members from all sources, before taxes, in the last calendar year?","$40,000 - $49,999",13,5
"income","What is your best estimate of the total income of all family members from all sources, before taxes, in the last calendar year?","$20,000 - $39,999",15,6
"ethnicity","Are you of Hispanic, Latino, or Spanish origin? This includes the Caribbean, South and Central America","Yes",8,1
"ethnicity","Are you of Hispanic, Latino, or Spanish origin? This includes the Caribbean, South and Central America","No",165,2
"race","What is your race?","White, for example, German, Irish, English, Italian, Lebanese, Egyptian, etc.",131,1
"race","What is your race?","Vietnamese",1,2
"race","What is your race?","Other Asian",3,3
"race","What is your race?","Native Hawaiian",1,4
"race","What is your race?","Japanese",3,5
"race","What is your race?","Chinese",2,6
"race","What is your race?","Black or African American, for example, African American, Jamaican, Haitian, Nigerian, Ethiopian, Somali, etc.",24,7
"race","What is your race?","Asian Indian",2,8
"race","What is your race?","An other race",2,9
"race","What is your race?","American Indian or Alaska Native, for example, Navajo Nation, Blackfeet Tribe, Mayan, Aztec, Native Village of Barrow Inupiat Traditional Government, Nome Eskimo Community, etc.",4,10
"Other.Asian.","Please describe your race","Indonesian",1,1
"Other.Asian.","Please describe your race","Bengali",1,2
"Other.Asian.","Please describe your race","Asian",1,3
"Other.Asian.","Please describe your race","",170,4
"Pacific.Islander","Detailed description.","",173,1
"Some.other.Race","Detailed description.","",173,1
"relationship","Are you...","Widowed",2,1
"relationship","Are you...","Separated",3,2
"relationship","Are you...","Never married",10,3
"relationship","Are you...","Married",151,4
"relationship","Are you...","Divorced",6,5
"relationship","Are you...","",1,6
"household","What is the total number of individuals in your household at this time?","7",6,1
"household","What is the total number of individuals in your household at this time?","6",15,2
"household","What is the total number of individuals in your household at this time?","5",40,3
"household","What is the total number of individuals in your household at this time?","4,",1,4
"household","What is the total number of individuals in your household at this time?","4",72,5
"household","What is the total number of individuals in your household at this time?","3",33,6
"household","What is the total number of individuals in your household at this time?","2",5,7
"household","What is the total number of individuals in your household at this time?","1",1,8
"Thank1","Thank you  for your responses. You will be compensated $5 for your time. Are you interested in continuing?","Yes",173,1
"CNP1","How often was the following true in the last 12 months? 
""The food that (I/we) bought just didn't last, and I didn't have money to get more""","Sometimes",50,1
"CNP1","How often was the following true in the last 12 months? 
""The food that (I/we) bought just didn't last, and I didn't have money to get more""","Often",5,2
"CNP1","How often was the following true in the last 12 months? 
""The food that (I/we) bought just didn't last, and I didn't have money to get more""","Never",113,3
"CNP1","How often was the following true in the last 12 months? 
""The food that (I/we) bought just didn't last, and I didn't have money to get more""","I dont know",4,4
"CNP1","How often was the following true in the last 12 months? 
""The food that (I/we) bought just didn't last, and I didn't have money to get more""","",1,5
"CNP2","How often was the following true in the last 12 months?
I (we) couldn't afford to eat balanced meals","Sometimes",51,1
